Model,30 Features,All Features
CatBoost,0.843779133416416,0.8566382303866554
Gradient Boosting,0.8209579285351989,0.823528898742515
Logistic Regression,0.799527668569304,0.7116655305925258
Random Forest,0.8479589682151701,0.8476369657869552
SVM,0.7600969449933557,0.6428802577855505
XGBoost,0.8253502895267735,0.845065880824675
