Model,30 Features,All Features
CatBoost,0.8111140099139056,0.8215496999739108
Gradient Boosting,0.8108531176624054,0.8181581007044091
Logistic Regression,0.78006783198539,0.6908426819723454
Random Forest,0.8150273936864075,0.8160709626924081
SVM,0.7471954082963737,0.6446647534568223
XGBoost,0.8040699191234021,0.8152882859379077
