Model,30 Features,All Features
CatBoost,0.8284544112955604,0.8403501403453205
Gradient Boosting,0.816243220850518,0.8250296641581232
Logistic Regression,0.7720969863051426,0.7004159867435067
Random Forest,0.8338142713863089,0.8278162589422806
SVM,0.7580601591421837,0.6428802577855505
XGBoost,0.8187051738422946,0.8344586205076301
