Model,30 Features,All Features
CatBoost,0.8421721049043975,0.8534209602236345
Gradient Boosting,0.8175310010534507,0.8274927646995371
Logistic Regression,0.7963132672803762,0.7068446745663983
Random Forest,0.8507454482443638,0.8459240184434178
SVM,0.762881474188166,0.6428802577855505
XGBoost,0.8321013240427714,0.8444202693987529
