Model,30 Features,All Features
CatBoost,0.824158622488912,0.8257239759979128
Gradient Boosting,0.8152882859379077,0.8228541612314114
Logistic Regression,0.7975476128358988,0.696060527002348
Random Forest,0.8298982520219149,0.8257239759979128
SVM,0.7513696843203757,0.6444038612053222
XGBoost,0.8192016697104096,0.8275502217584138
